The Passphrase Is Strong With This One
A Star Wars-inspired Wordlist
This wordlist was created by identifying the unique words in some of the most popular user-created pages at FANDOM's starwars.wikia.com. They are numbered to correspond with three roles of a 20-sided die. 
The list was created by the Electronic Frontier Foundation and maybe freely distributed use under the Creative Commons Attribution 3.0 United States license.
Any trademarks within the word list are the property of their respective trademark holders, who are not affiliated with the Electronic Frontier Foundation and do not sponsor or endorse these passwords.
1-1-1 aided
1-1-2 child
3-15-2 appear
3-15-3 outpost
3-15-4 ahch-to
3-15-5 realizing
3-15-6 shares
3-15-7 pleased
3-15-8 current
3-15-9 reunite
3-15-10 goes
3-15-11 supplies
3-15-12 falling
3-15-13 crashing
3-15-14 celebrates
3-15-15 filled
3-15-16 nebulon-b
3-15-17 transportation
3-15-18 dwarf
3-15-19 climbs
3-15-20 force-flip
3-16-1 funeral
3-16-2 water
3-16-3 contemplate
3-16-4 pause
3-16-5 crippled
3-16-6 alone
3-16-7 along
3-16-8 appears
3-16-9 change
3-16-10 wait
3-16-11 box
3-16-12 boy
3-16-13 redemption
3-16-14 flames
3-16-15 eisley
3-16-16 shift
3-16-17 bor
3-16-18 merrick
3-16-19 grenade
3-16-20 exploitation
3-17-1 trial
3-17-2 accomplished
3-17-3 lowers
3-17-4 love
3-17-5 darksider
3-17-6 cloak
3-17-7 plo
3-17-8 betraying
3-17-9 controls
3-17-10 fake
3-17-11 operational
3-17-12 sacrifice
3-17-13 sympathetic
3-17-14 troops
3-17-15 working
3-17-16 perished
3-17-17 bury
3-17-18 angry
3-17-19 give
3-17-20 tears
3-18-1 tightly
3-18-2 wicket
3-18-3 territories
3-18-4 live
3-18-5 wood
3-18-6 proposes
3-18-7 mechanized
3-18-8 wondering
3-18-9 sighted
3-18-10 films
3-18-11 believing
3-18-12 cooperated
3-18-13 krennic
3-18-14 dismay
3-18-15 entrance
3-18-16 co-pilot
3-18-17 riot
3-18-18 scrumrat
3-18-19 incident
3-18-20 thunderous
3-19-1 long
3-19-2 diversionary
3-19-3 rendered
3-19-4 effort
3-19-5 riders
3-19-6 behalf
3-19-7 yelling
3-19-8 fly
3-19-9 deformed
3-19-10 local
3-19-11 originally
3-19-12 oscillator
3-19-13 believes
3-19-14 flagship
3-19-15 gathers
3-19-16 drags
3-19-17 can
3-19-18 growing
3-19-19 making
3-19-20 arrive
3-20-1 deceased
3-20-2 streak
3-20-3 heart
3-20-4 ordeal
3-20-5 viceroy
3-20-6 corrupted
3-20-7 figure
3-20-8 downfall
3-20-9 december
3-20-10 confused
3-20-11 supremacy
3-20-12 heard
3-20-13 detaching
3-20-14 posing
3-20-15 dropped
3-20-16 hides
3-20-17 offense
3-20-18 stole
3-20-19 occur
3-20-20 listens
4-1-1 indifferent
4-1-2 dogfight
4-1-3 fortunately
4-1-4 means
4-1-5 unkar
4-1-6 range
4-1-7 vital
4-1-8 sword
4-1-9 ensure
4-1-10 persuasion
4-1-11 swamping
4-1-12 pathway
4-1-13 map
4-1-14 spielberg
4-1-15 crashes
4-1-16 huge
4-1-17 strokes
4-1-18 max
4-1-19 blasting
4-1-20 maz
4-2-1 spot
4-2-2 informs
4-2-3 boards
4-2-4 tipped
4-2-5 designed
4-2-6 commit
4-2-7 mocks
4-2-8 such
4-2-9 heroes
4-2-10 truly
4-2-11 revealed
4-2-12 man
4-2-13 cursing
4-2-14 natural
4-2-15 neck
4-2-16 inhabitants
4-2-17 switch
4-2-18 glancing
4-2-19 unleash
4-2-20 pulled
4-3-1 howard
4-3-2 serving
4-3-3 shield
4-3-4 east
4-3-5 deactivated
4-3-6 displayed
4-3-7 years
4-3-8 stability
4-3-9 course
4-3-10 cuts
4-3-11 cold
4-3-12 still
4-3-13 firmus
4-3-14 snippet
4-3-15 group
4-3-16 boushh
4-3-17 presence
4-3-18 vicinity
4-3-19 coordinates
4-3-20 astromech
4-4-1 forms
4-4-2 platform
4-4-3 window
4-4-4 offers
4-4-5 farmer
4-4-6 coordinated
4-4-7 main
4-4-8 happened
4-4-9 evacuated
4-4-10 bight
4-4-11 artoo
4-4-12 halt
4-4-13 thereby
4-4-14 matches
4-4-15 killer
4-4-16 underneath
4-4-17 transmissions
4-4-18 touching
4-4-19 hale
4-4-20 half
4-5-1 not
4-5-2 now
4-5-3 killed
4-5-4 developments
4-5-5 escorting
4-5-6 blueprints
4-5-7 holographic
4-5-8 name
4-5-9 fumes
4-5-10 opera
4-5-11 january
4-5-12 drop
4-5-13 leak
4-5-14 racetrack
4-5-15 chuckles
4-5-16 sidon
4-5-17 bursts
4-5-18 rock
4-5-19 quarter
4-5-20 stalling
4-6-1 square
4-6-2 retrieve
4-6-3 fired
4-6-4 crushing
4-6-5 ralter
4-6-6 challenges
4-6-7 frames
4-6-8 fires
4-6-9 owing
4-6-10 farewell
4-6-11 begun
4-6-12 singlehandedly
4-6-13 hurries
4-6-14 girl
4-6-15 teams
4-6-16 shoots
4-6-17 amusement
4-6-18 intended
4-6-19 emerges
4-6-20 ultimately
4-7-1 space
4-7-2 catacombs
4-7-3 irony
4-7-4 communicating
4-7-5 interference
4-7-6 thirst
4-7-7 looking
4-7-8 lizard-monkey
4-7-9 emerged
4-7-10 uprising
4-7-11 suggesting
4-7-12 receiving
4-7-13 shows
4-7-14 maneuver
4-7-15 earlier
4-7-16 bolts
4-7-17 booby
4-7-18 defenses
4-7-19 siege
4-7-20 hull
4-8-1 dispatched
4-8-2 spies
4-8-3 recordings
4-8-4 rebel
4-8-5 plea
4-8-6 phasma
4-8-7 scarred
4-8-8 remainder
4-8-9 tunisia
4-8-10 care
4-8-11 advance
4-8-12 training
4-8-13 hot-head
4-8-14 disguised
4-8-15 question
4-8-16 amanda
4-8-17 collapsing
4-8-18 motion
4-8-19 turn
4-8-20 place
4-9-1 aboard
4-9-2 swing
4-9-3 turbolasers
4-9-4 first
4-9-5 blind
4-9-6 silenced
4-9-7 saving
4-9-8 surviving
4-9-9 striking
4-9-10 discharges
4-9-11 mid-air
4-9-12 flipping
4-9-13 one
4-9-14 jedi-in-hiding
4-9-15 submit
4-9-16 suspended
4-9-17 petitions
4-9-18 message
4-9-19 open
4-9-20 george
4-10-1 size
4-10-2 city
4-10-3 given
4-10-4 necessarily
4-10-5 silent
4-10-6 sheev
4-10-7 caught
4-10-8 persuasions
4-10-9 dressed
4-10-10 response
4-10-11 indicate
4-10-12 returns
4-10-13 victorious
4-10-14 draft
4-10-15 tell
4-10-16 moisture
4-10-17 bounty
4-10-18 white
4-10-19 unduli
4-10-20 friend
4-11-1 gives
4-11-2 seduced
4-11-3 hue
4-11-4 eyes
4-11-5 releases
4-11-6 that
4-11-7 kirkpatrick
4-11-8 accurately
4-11-9 boba
4-11-10 veers
4-11-11 released
4-11-12 module
4-11-13 butt
4-11-14 hux
4-11-15 than
4-11-16 infiltrate
4-11-17 wat
4-11-18 unfortunately
4-11-19 gangster
4-11-20 rival
4-12-1 begrudgingly
4-12-2 diplomatic
4-12-3 reinforce
4-12-4 future
4-12-5 were
4-12-6 cards
4-12-7 x-wings
4-12-8 marines
4-12-9 lucasfilm
4-12-10 wandering
4-12-11 evade
4-12-12 tractor
4-12-13 slashing
4-12-14 and
4-12-15 gathering
4-12-16 decapitates
4-12-17 armored
4-12-18 turned
4-12-19 locations
4-12-20 headquarters
4-13-1 entombed
4-13-2 buried
4-13-3 foiled
4-13-4 anger
4-13-5 crait
4-13-6 occupied
4-13-7 any
4-13-8 offering
4-13-9 saesee
4-13-10 snowy
4-13-11 aside
4-13-12 shocked
4-13-13 instructed
4-13-14 equipment
4-13-15 squad
4-13-16 massa
4-13-17 take
4-13-18 interior
4-13-19 destroy
4-13-20 concern
4-14-1 stass
4-14-2 guavian
4-14-3 urge
4-14-4 begin
4-14-5 sure
4-14-6 multiple
4-14-7 track
4-14-8 price
4-14-9 knew
4-14-10 betrayal
4-14-11 suspects
4-14-12 falls
4-14-13 assault
4-14-14 consignment
4-14-15 pair
4-14-16 tugging
4-14-17 jebel
4-14-18 forever
4-14-19 codenamed
4-14-20 flawlessly
4-15-1 discarding
4-15-2 dream
4-15-3 later
4-15-4 disperses
4-15-5 defeating
4-15-6 wing
4-15-7 massacres
4-15-8 sunset
4-15-9 compactor
4-15-10 axe
4-15-11 salt
4-15-12 walking
4-15-13 horribly
4-15-14 shot
4-15-15 unassailable
4-15-16 show
4-15-17 syndicate
4-15-18 discovered
4-15-19 hopes
4-15-20 bright
4-16-1 aggressive
4-16-2 calamari
4-16-3 ground
4-16-4 safekeeping
4-16-5 tomder
4-16-6 stormy
4-16-7 stowaways
4-16-8 storms
4-16-9 behind
4-16-10 crime
4-16-11 only
4-16-12 going
4-16-13 black
4-16-14 incredulous
4-16-15 equipped
4-16-16 dreaded
4-16-17 fiendish
4-16-18 explosion
4-16-19 get
4-16-20 hostage
4-17-1 cannon
4-17-2 between
4-17-3 freezing
4-17-4 duel
4-17-5 mission
4-17-6 skiffs
4-17-7 simplistic
